Codigo do Item,Descrição do Item,Marca,País de Origem,Produtor,Tipo de Vinho,Safra,Preço,Desconto Máximo,Tipo de Garrafa,Estoque Atual,GTIN Un.,GTIN Cod. Barra,DUN Un.,DUN Cod. Barra,Região de Origem,Tipo de Uva,Percentual IPI,UPDATED_AT,Valor em Real,Valor com desconto,col_22
37552,JEAN PAUL E BENOIT DROIN CHABLIS 1ER CRU AOC MONT DE MILIEU 2021 (BCO) (JEAN PAUL E BENOIT DROIN),Mistral,França,DOMAINE JEAN PAUL DROIN,Branco Seco,2021,169.9,20,750ml,9,GF,0097985100801,CAIXA C/12,10097985100808,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,914.84354,894.84354,
37553,JEAN PAUL E BENOIT DROIN CHABLIS 1ER CRU AOC MONT DE MILIEU 2022 (BCO) (JEAN PAUL E BENOIT DROIN),Mistral_Vinci,França,DOMAINE JEAN PAUL DROIN,Branco Seco,2022,189.9,20,750ml,26,GF,0097985100801,CAIXA C/12,10097985100808,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,1022.53554,1002.53554,
37554,JEAN PAUL E BENOIT DROIN CHABLIS 1ER CRU AOC MONTEE DE TONNERRE 2021 (BCO) (JEAN PAUL E BENOIT DROIN),Mistral_Vinci,França,DOMAINE JEAN PAUL DROIN,Branco Seco,2021,189.9,20,750ml,14,GF,0097985100832,CAIXA C/12,10097985100839,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,1022.53554,1002.53554,
37555,JEAN PAUL E BENOIT DROIN CHABLIS 1ER CRU AOC MONTEE DE TONNERRE 2022 (BCO) (JEAN PAUL E BENOIT DROIN),Mistral_Vinci,França,DOMAINE JEAN PAUL DROIN,Branco Seco,2022,189.9,20,750ml,6,GF,0097985100832,CAIXA C/12,10097985100839,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,1022.53554,1002.53554,
37556,JEAN PAUL E BENOIT DROIN CHABLIS 1ER CRU AOC MONTMAINS 2021 (BCO) (JEAN PAUL E BENOIT DROIN),Mistral_Vinci,França,DOMAINE JEAN PAUL DROIN,Branco Seco,2021,159.9,20,750ml,3,GF,0097985100795,CAIXA C/12,10097985100792,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,860.99754,840.99754,
37557,JEAN PAUL E BENOIT DROIN CHABLIS 1ER CRU AOC MONTMAINS 2022 (BCO) (JEAN PAUL E BENOIT DROIN),Mistral_Vinci,França,DOMAINE JEAN PAUL DROIN,Branco Seco,2022,184.5,20,750ml,13,GF,0097985100795,CAIXA C/12,10097985100792,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,993.4587,973.4587,
37562,JEAN PAUL E BENOIT DROIN CHABLIS GRAND CRU AOC HOMMAGE A LOUIS 2021 (BCO) (DOMAINE JEAN PAUL DROIN),Mistral_Vinci,França,DOMAINE JEAN PAUL DROIN,Branco Seco,2021,299.9,15,750ml,12,GF,0097985100818,CAIXA C/12,10097985100815,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,1614.84154,1599.84154,
37563,JEAN PAUL E BENOIT DROIN CHABLIS GRAND CRU AOC HOMMAGE A LOUIS 2022 (BCO) (DOMAINE JEAN PAUL DROIN),Mistral_Vinci,França,DOMAINE JEAN PAUL DROIN,Branco Seco,2022,299.9,15,750ml,30,GF,0097985100818,CAIXA C/12,10097985100815,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,1614.84154,1599.84154,
37564,JEAN PAUL E BENOIT DROIN CHABLIS GRAND CRU VAUDESIR 2021 (BCO) (DOMAINE JEAN PAUL E BENOIT DROIN),Mistral_Vinci,França,DOMAINE JEAN PAUL DROIN,Branco,2021,269.9,15,750ml,7,GF,0097985100825,CAIXA C/12,10097985100822,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,1453.3035399999999,1438.3035399999999,
37566,JACQUES CARILLON CHASSAGNE MONTRACHET AOC 2021 (BCO) (DOMAINE JACQUES CARILLON),Mistral,França,DOMAINE JACQUES CARILLON,Branco Seco,2021,229.5,15,750ml,15,GF,0097985159120,CAIXA C/12,10097985159127,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,1235.7657,1220.7657,
